Matricula,Nome Completo,Email Corporativo,Status,Tipo,CPF
MAT1001,Ana Silva,ana.silva@nicolasec.com.br,Ativo,Funcionario,53975003004
MAT1002,Bruno Cortez,bruno.cortez@nicolasec.com.br,Ativo,Funcionario,98886036004
MAT1003,Carla Dias,carla.dias@nicolasec.com.br,Ativo,Funcionario,17112447005
MAT1004,Daniel Moreira,daniel.moreira@nicolasec.com.br,Ativo,Terceiro,32847702008
MAT1005,Elisa Fernandes,elisa.fernandes@nicolasec.com.br,Inativo,Funcionario,94162489006
MAT1006,Fábio Guedes,fabio.guedes@nicolasec.com.br,Ativo,Funcionario,41154546000
MAT1007,Gabriela Lima,gabriela.lima@nicolasec.com.br,Ativo,Funcionario,51046836005
MAT1008,Heitor Barros,heitor.barros@nicolasec.com.br,Ativo,Funcionario,26903738002
MAT1009,Iris Mendes,iris.mendes@nicolasec.com.br,Ativo,Terceiro,18128537000
MAT1010,Jorge Viana,jorge.viana@nicolasec.com.br,Ativo,Funcionario,83411453008
MAT1011,Laura Pires,laura.pires@nicolasec.com.br,Ferias,Funcionario,26155981005
MAT1012,Marcos Nunes,marcos.nunes@nicolasec.com.br,Ativo,Funcionario,10931221008
MAT1013,Natália Oliveira,natalia.oliveira@nicolasec.com.br,Ativo,Funcionario,73489814002
MAT1014,Otávio Costa,otavio.costa@nicolasec.com.br,Ativo,Funcionario,62831201004
MAT1015,Paula Azevedo,paula.azevedo@nicolasec.com.br,Ativo,Funcionario,97609207000
MAT1016,Rafael Souza,rafael.souza@nicolasec.com.br,Ativo,Terceiro,26202446006
MAT1017,Simone Braga,simone.braga@nicolasec.com.br,Inativo,Funcionario,76267885006
MAT1018,Thiago Campos,thiago.campos@nicolasec.com.br,Ativo,Funcionario,91684343003
MAT1019,Ursula Matos,ursula.matos@nicolasec.com.br,Ativo,Funcionario,14271897003
MAT1020,Victor Neves,victor.neves@nicolasec.com.br,Ativo,Funcionario,89274205001
