Login,ID_RH,Nome de Exibicao,Email (Sistema),Situacao,Perfis_Atribuidos,CPF_CONTA
ASILVA,MAT1001,Ana S. (SAP),ana.silva@sap.com,Ativo,"SAP_FIN_LEITURA;PORTAL_COMPRAS_VIEW",53770741076
BCORTEZ,MAT1002,Bruno C. (SAP),bruno.cortez@sap.com,Ativo,"SAP_RH_ADMIN",15032603238
CDIAS,MAT1003,Carla D. (SAP),carla.dias@sap.com,Ativo,"SAP_FIN_ESCRITA",24251787070
DMOREIRA,MAT1004,Daniel M. (SAP),daniel.moreira@sap.com,Ativo,"",75475647007
EFERNANDES,MAT1005,Elisa F. (SAP),elisa.fernandes@sap.com,Inativo,"SAP_FIN_LEITURA",44070346875
FGUEDES,MAT1006,Fábio G. (SAP),fabio.guedes@sap.com,Ativo,"PORTAL_COMPRAS_USER;PORTAL_COMPRAS_VIEW",38073797577
GLIMA,MAT1007,Gabriela L. (SAP),gabriela.lima@sap.com,Ativo,"",56048536812
HBARROS,MAT1008,Heitor B. (SAP),heitor.barros@sap.com,Ativo,"SAP_BASIS",87103251025
IMENDES,MAT1009,Iris M. (SAP),iris.mendes@sap.com,Ativo,"PORTAL_COMPRAS_VIEW",03077364888
JVIANA,MAT1010,Jorge V. (SAP),jorge.viana@sap.com,Ativo,"",5005432513
LPIRES,MAT1011,Laura P. (SAP),laura.pires@sap.com,Ativo,"SAP_FIN_LEITURA",84347714083
MNUNES,MAT1012,Marcos N. (SAP),marcos.nunes@sap.com,Ativo,"SAP_RH_ADMIN;SAP_FIN_LEITURA",0300476536
NOLIVEIRA,MAT1013,Natália O. (SAP),natalia.oliveira@sap.com,Ativo,"",8103889730
OCOSTA,MAT1014,Otávio C. (SAP),otavio.costa@sap.com,Ativo,"",75055788944
PAZEVEDO,MAT1015,Paula A. (SAP),paula.azevedo@sap.com,Ativo,"PORTAL_COMPRAS_USER",0891668688
RSOUZA,MAT1016,Rafael S. (SAP),rafael.souza@sap.com,Ativo,"PORTAL_COMPRAS_VIEW",47039908844
SBRAGA,MAT1017,Simone B. (SAP),simone.braga@sap.com,Inativo,"",31085214001
TCAMPOS,MAT1018,Thiago C. (SAP),thiago.campos@sap.com,Ativo,"SAP_FIN_LEITURA",30004280807
UMATOS,MAT1019,Ursula M. (SAP),ursula.matos@sap.com,Ativo,"",34053005135
VNEVES,MAT1020,Victor N. (SAP),victor.neves@sap.com,Ativo,"SAP_FIN_LEITURA;SAP_FIN_ESCRITA;SAP_BASIS",23006186476
